date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase
########,Review title 1,"Not satisfied, many bugs and issues.",1,user1,80,6,Amazon,zh,Kenya,2.1.4,No
########,Review title 2,Amazing quality and user-friendly interface.,5,user2,180,5,Flipkart,zh,France,1.2.3,No
########,Review title 3,"Terrible experience, needs major improvements.",2,user3,154,5,Flipkart,pt,USA,1.2.3,No
########,Review title 4,Poor performance and not user-friendly.,1,user4,96,5,Amazon,es,Qatar,2.1.4,Yes
########,Review title 5,"Not satisfied, many bugs and issues.",2,user5,139,6,Website,ar,Kenya,2.1.4,No
5/5/2024,Review title 6,"Waste of time, does not meet expectations.",2,user6,156,7,App Store,en,Nepal,3.5.6,No
3/9/2024,Review title 7,"Highly satisfied, the app works exactly as expected.",4,user7,186,8,Google Play,fr,Qatar,2.1.4,No
3/8/2024,Review title 8,"Highly satisfied, the app works exactly as expected.",4,user8,152,8,Amazon,ja,Italy,5.0.3,No
########,Review title 9,"Excellent app, very easy to use and extremely helpful.",4,user9,87,9,Amazon,en,Germany,5.0.3,No
########,Review title 10,"Great experience, smooth performance and useful features.",5,user10,27,7,Flipkart,en,Nepal,3.5.6,Yes
########,Review title 11,Works fine but there is room for improvement.,3,user11,190,8,Flipkart,en,France,1.2.3,No
########,Review title 12,"Not bad, but updates are needed for better performance.",3,user12,153,9,Google Play,hi,Poland,4.2.1,No
########,Review title 13,"Highly satisfied, the app works exactly as expected.",5,user13,6,8,Website,hi,Qatar,3.5.6,No
########,Review title 14,"Highly satisfied, the app works exactly as expected.",4,user14,51,8,Flipkart,pt,UK,5.0.3,Yes
6/2/2024,Review title 15,Works fine but there is room for improvement.,3,user15,78,8,Flipkart,hi,USA,3.5.6,Yes
########,Review title 16,"Terrible experience, needs major improvements.",1,user16,89,5,Google Play,fr,Kenya,1.2.3,No
########,Review title 17,Amazing quality and user-friendly interface.,4,user17,83,5,Google Play,ja,India,3.5.6,No
########,Review title 18,Poor performance and not user-friendly.,2,user18,156,5,Flipkart,hi,Qatar,1.2.3,Yes
6/5/2024,Review title 19,"Excellent app, very easy to use and extremely helpful.",5,user19,33,9,Website,pt,USA,5.0.3,No
1/3/2025,Review title 20,"Decent app, neither too good nor too bad.",3,user20,55,8,App Store,pt,UK,3.5.6,Yes
########,Review title 21,"Highly satisfied, the app works exactly as expected.",4,user21,152,8,Google Play,zh,India,1.2.3,No
7/1/2024,Review title 22,Poor performance and not user-friendly.,1,user22,97,5,Amazon,ja,Germany,5.0.3,Yes
########,Review title 23,Very reliable and worth using regularly.,4,user23,20,6,Flipkart,ar,Kenya,4.2.1,Yes
########,Review title 24,Poor performance and not user-friendly.,2,user24,126,5,Google Play,fr,Qatar,2.1.4,Yes
########,Review title 25,"Average experience, some features could be improved.",3,user25,75,7,Flipkart,fr,USA,4.2.1,Yes
########,Review title 26,The app is okay and does its job reasonably well.,3,user26,88,10,Website,en,UK,1.2.3,Yes
########,Review title 27,Amazing quality and user-friendly interface.,4,user27,43,5,Flipkart,pt,Kenya,3.5.6,Yes
4/8/2025,Review title 28,Poor performance and not user-friendly.,2,user28,91,5,Flipkart,fr,Qatar,2.1.4,No
########,Review title 29,The app is okay and does its job reasonably well.,3,user29,118,10,App Store,fr,Italy,1.2.3,No
########,Review title 30,Very reliable and worth using regularly.,5,user30,127,6,Google Play,hi,Kenya,3.5.6,No
########,Review title 31,"Average experience, some features could be improved.",3,user31,139,7,Website,es,Poland,5.0.3,No
########,Review title 32,"Very disappointing experience, the app crashes often.",2,user32,199,7,App Store,en,Germany,2.1.4,No
2/9/2024,Review title 33,"Average experience, some features could be improved.",3,user33,164,7,Amazon,hi,Germany,4.2.1,Yes
########,Review title 34,"Average experience, some features could be improved.",3,user34,156,7,App Store,es,Kenya,5.0.3,No
########,Review title 35,Very reliable and worth using regularly.,4,user35,65,6,Amazon,de,UK,1.2.3,No
########,Review title 36,"Decent app, neither too good nor too bad.",3,user36,6,8,Amazon,zh,Italy,4.2.1,No
########,Review title 37,"Not satisfied, many bugs and issues.",1,user37,169,6,Website,hi,Nepal,5.0.3,No
########,Review title 38,Works fine but there is room for improvement.,3,user38,80,8,Flipkart,es,Germany,1.2.3,Yes
########,Review title 39,"Great experience, smooth performance and useful features.",4,user39,20,7,Flipkart,zh,USA,2.1.4,No
########,Review title 40,"Excellent app, very easy to use and extremely helpful.",4,user40,153,9,Google Play,en,USA,1.2.3,Yes
########,Review title 41,"Very disappointing experience, the app crashes often.",2,user41,105,7,Google Play,fr,Qatar,5.0.3,Yes
########,Review title 42,Amazing quality and user-friendly interface.,5,user42,120,5,App Store,es,Nepal,1.2.3,No
########,Review title 43,"Waste of time, does not meet expectations.",1,user43,105,7,Flipkart,hi,USA,4.2.1,Yes
8/6/2024,Review title 44,"Highly satisfied, the app works exactly as expected.",5,user44,55,8,Flipkart,pt,USA,1.2.3,No
########,Review title 45,Amazing quality and user-friendly interface.,4,user45,69,5,Amazon,es,USA,1.2.3,Yes
########,Review title 46,"Great experience, smooth performance and useful features.",4,user46,186,7,Flipkart,fr,France,1.2.3,Yes
3/1/2024,Review title 47,Amazing quality and user-friendly interface.,4,user47,86,5,Website,ar,Poland,5.0.3,No
########,Review title 48,"Not satisfied, many bugs and issues.",1,user48,87,6,Website,pt,USA,3.5.6,Yes
########,Review title 49,Works fine but there is room for improvement.,3,user49,143,8,Amazon,ar,Italy,2.1.4,Yes
9/2/2024,Review title 50,Works fine but there is room for improvement.,3,user50,119,8,Amazon,de,Poland,5.0.3,Yes
########,Review title 51,"Highly satisfied, the app works exactly as expected.",4,user51,41,8,App Store,fr,India,4.2.1,Yes
########,Review title 52,The app is okay and does its job reasonably well.,3,user52,185,10,Google Play,fr,Kenya,3.5.6,No
########,Review title 53,"Excellent app, very easy to use and extremely helpful.",4,user53,12,9,Google Play,fr,Nepal,5.0.3,Yes
########,Review title 54,"Very disappointing experience, the app crashes often.",1,user54,51,7,Website,en,Nepal,3.5.6,Yes
6/1/2024,Review title 55,"Decent app, neither too good nor too bad.",3,user55,186,8,Google Play,fr,Poland,5.0.3,No
4/9/2024,Review title 56,"Excellent app, very easy to use and extremely helpful.",4,user56,53,9,App Store,es,Qatar,2.1.4,No
########,Review title 57,"Highly satisfied, the app works exactly as expected.",4,user57,38,8,Website,ja,Kenya,4.2.1,Yes
########,Review title 58,"Waste of time, does not meet expectations.",2,user58,181,7,Google Play,en,Kenya,5.0.3,Yes
########,Review title 59,The app is okay and does its job reasonably well.,3,user59,108,10,App Store,es,France,2.1.4,Yes
########,Review title 60,Poor performance and not user-friendly.,2,user60,176,5,Amazon,de,India,1.2.3,No
3/7/2025,Review title 61,"Average experience, some features could be improved.",3,user61,100,7,Flipkart,zh,France,2.1.4,No
########,Review title 62,"Highly satisfied, the app works exactly as expected.",4,user62,194,8,Google Play,es,USA,1.2.3,Yes
########,Review title 63,Poor performance and not user-friendly.,2,user63,25,5,Google Play,ja,UK,2.1.4,Yes
########,Review title 64,Very reliable and worth using regularly.,5,user64,49,6,Google Play,es,India,3.5.6,Yes
3/2/2024,Review title 65,"Great experience, smooth performance and useful features.",4,user65,189,7,Google Play,hi,Germany,4.2.1,No
3/7/2024,Review title 66,Poor performance and not user-friendly.,1,user66,47,5,App Store,es,India,1.2.3,Yes
3/7/2024,Review title 67,"Very disappointing experience, the app crashes often.",1,user67,44,7,Flipkart,fr,USA,3.5.6,Yes
########,Review title 68,Works fine but there is room for improvement.,3,user68,93,8,Google Play,pt,India,5.0.3,No
########,Review title 69,"Highly satisfied, the app works exactly as expected.",4,user69,120,8,Website,de,India,2.1.4,Yes
########,Review title 70,"Great experience, smooth performance and useful features.",4,user70,186,7,Amazon,zh,Nepal,3.5.6,No
6/1/2024,Review title 71,"Excellent app, very easy to use and extremely helpful.",4,user71,161,9,App Store,pt,Germany,1.2.3,No
########,Review title 72,"Very disappointing experience, the app crashes often.",2,user72,29,7,Amazon,fr,Kenya,1.2.3,No
########,Review title 73,"Average experience, some features could be improved.",3,user73,63,7,Flipkart,zh,India,2.1.4,Yes
########,Review title 74,"Highly satisfied, the app works exactly as expected.",4,user74,20,8,Google Play,ja,UK,1.2.3,No
########,Review title 75,Very reliable and worth using regularly.,5,user75,60,6,Flipkart,ar,Poland,5.0.3,No
########,Review title 76,Amazing quality and user-friendly interface.,5,user76,77,5,Flipkart,es,Poland,5.0.3,No
########,Review title 77,"Average experience, some features could be improved.",3,user77,139,7,Flipkart,zh,Poland,3.5.6,Yes
########,Review title 78,Very reliable and worth using regularly.,5,user78,79,6,Google Play,en,Qatar,4.2.1,No
########,Review title 79,"Highly satisfied, the app works exactly as expected.",5,user79,107,8,Google Play,es,USA,4.2.1,No
########,Review title 80,"Very disappointing experience, the app crashes often.",2,user80,1,7,App Store,fr,Italy,2.1.4,Yes
########,Review title 81,"Highly satisfied, the app works exactly as expected.",4,user81,91,8,Google Play,pt,Poland,5.0.3,Yes
########,Review title 82,"Terrible experience, needs major improvements.",2,user82,50,5,App Store,hi,India,1.2.3,Yes
########,Review title 83,"Excellent app, very easy to use and extremely helpful.",4,user83,85,9,Website,ar,France,5.0.3,No
########,Review title 84,"Waste of time, does not meet expectations.",1,user84,106,7,Google Play,en,USA,5.0.3,Yes
2/8/2025,Review title 85,"Excellent app, very easy to use and extremely helpful.",5,user85,196,9,Website,ja,USA,5.0.3,No
########,Review title 86,Very reliable and worth using regularly.,5,user86,136,6,Google Play,pt,Italy,1.2.3,Yes
########,Review title 87,"Average experience, some features could be improved.",3,user87,187,7,Amazon,pt,USA,5.0.3,No
########,Review title 88,"Waste of time, does not meet expectations.",1,user88,194,7,Website,de,Italy,4.2.1,Yes
########,Review title 89,"Terrible experience, needs major improvements.",2,user89,144,5,Flipkart,ar,USA,4.2.1,Yes
5/9/2025,Review title 90,"Highly satisfied, the app works exactly as expected.",5,user90,83,8,Amazon,es,UK,1.2.3,No
########,Review title 91,"Waste of time, does not meet expectations.",2,user91,26,7,Amazon,en,Poland,1.2.3,No
2/7/2024,Review title 92,"Highly satisfied, the app works exactly as expected.",5,user92,160,8,Website,fr,Kenya,5.0.3,Yes
########,Review title 93,"Excellent app, very easy to use and extremely helpful.",5,user93,196,9,Amazon,ja,France,3.5.6,No
########,Review title 94,"Waste of time, does not meet expectations.",1,user94,63,7,Website,pt,India,4.2.1,Yes
########,Review title 95,"Very disappointing experience, the app crashes often.",2,user95,132,7,Amazon,hi,Kenya,2.1.4,Yes
5/3/2025,Review title 96,Very reliable and worth using regularly.,4,user96,170,6,Flipkart,pt,India,1.2.3,No
########,Review title 97,"Terrible experience, needs major improvements.",1,user97,79,5,Flipkart,ar,Kenya,1.2.3,Yes
########,Review title 98,Very reliable and worth using regularly.,4,user98,71,6,Amazon,pt,Qatar,5.0.3,No
########,Review title 99,"Not bad, but updates are needed for better performance.",3,user99,147,9,Flipkart,en,France,5.0.3,No
2/4/2025,Review title 100,"Excellent app, very easy to use and extremely helpful.",5,user100,111,9,Website,en,India,4.2.1,Yes
########,Review title 101,"Terrible experience, needs major improvements.",2,user101,83,5,Flipkart,pt,Germany,5.0.3,No
########,Review title 102,"Waste of time, does not meet expectations.",2,user102,175,7,App Store,zh,Germany,1.2.3,No
########,Review title 103,Works fine but there is room for improvement.,3,user103,171,8,Google Play,es,Germany,4.2.1,No
########,Review title 104,"Great experience, smooth performance and useful features.",4,user104,120,7,Google Play,pt,USA,4.2.1,No
########,Review title 105,Works fine but there is room for improvement.,3,user105,136,8,Flipkart,fr,Germany,5.0.3,Yes
########,Review title 106,"Terrible experience, needs major improvements.",1,user106,17,5,App Store,fr,UK,3.5.6,No
########,Review title 107,"Terrible experience, needs major improvements.",2,user107,77,5,Google Play,en,India,3.5.6,Yes
5/2/2025,Review title 108,"Not satisfied, many bugs and issues.",1,user108,38,6,Amazon,ja,Germany,2.1.4,Yes
4/3/2024,Review title 109,The app is okay and does its job reasonably well.,3,user109,90,10,Google Play,zh,UK,5.0.3,No
########,Review title 110,"Great experience, smooth performance and useful features.",4,user110,3,7,Amazon,hi,Qatar,3.5.6,No
########,Review title 111,"Terrible experience, needs major improvements.",2,user111,174,5,Amazon,hi,Italy,4.2.1,No
5/4/2025,Review title 112,Poor performance and not user-friendly.,2,user112,129,5,Amazon,fr,Nepal,1.2.3,No
7/2/2024,Review title 113,"Very disappointing experience, the app crashes often.",2,user113,136,7,Amazon,en,USA,5.0.3,No
2/1/2025,Review title 114,"Great experience, smooth performance and useful features.",5,user114,180,7,Website,fr,UK,2.1.4,No
########,Review title 115,"Waste of time, does not meet expectations.",2,user115,75,7,Amazon,ja,Poland,2.1.4,No
########,Review title 116,"Average experience, some features could be improved.",3,user116,106,7,Flipkart,en,Kenya,5.0.3,Yes
########,Review title 117,"Highly satisfied, the app works exactly as expected.",5,user117,86,8,App Store,de,Qatar,4.2.1,No
4/4/2025,Review title 118,Poor performance and not user-friendly.,2,user118,176,5,Google Play,de,Italy,3.5.6,No
########,Review title 119,Amazing quality and user-friendly interface.,5,user119,78,5,Google Play,fr,France,1.2.3,No
7/3/2024,Review title 120,Very reliable and worth using regularly.,4,user120,200,6,Flipkart,de,Poland,4.2.1,No
2/7/2024,Review title 121,"Waste of time, does not meet expectations.",1,user121,115,7,Website,ja,Kenya,4.2.1,No
########,Review title 122,"Not bad, but updates are needed for better performance.",3,user122,26,9,App Store,ar,Poland,1.2.3,Yes
2/1/2024,Review title 123,"Decent app, neither too good nor too bad.",3,user123,120,8,Amazon,de,USA,3.5.6,Yes
########,Review title 124,"Not bad, but updates are needed for better performance.",3,user124,178,9,Google Play,en,Nepal,4.2.1,Yes
########,Review title 125,The app is okay and does its job reasonably well.,3,user125,15,10,Flipkart,zh,UK,1.2.3,Yes
########,Review title 126,"Excellent app, very easy to use and extremely helpful.",4,user126,106,9,Google Play,zh,Italy,2.1.4,No
########,Review title 127,"Terrible experience, needs major improvements.",1,user127,90,5,Website,zh,Qatar,1.2.3,Yes
2/2/2025,Review title 128,"Not bad, but updates are needed for better performance.",3,user128,185,9,Amazon,de,UK,1.2.3,No
########,Review title 129,"Terrible experience, needs major improvements.",1,user129,121,5,Website,hi,Italy,5.0.3,No
3/3/2025,Review title 130,The app is okay and does its job reasonably well.,3,user130,193,10,Amazon,hi,Germany,3.5.6,No
1/2/2025,Review title 131,Very reliable and worth using regularly.,5,user131,170,6,Google Play,ar,Kenya,3.5.6,No
########,Review title 132,"Average experience, some features could be improved.",3,user132,3,7,Flipkart,ja,Germany,4.2.1,Yes
########,Review title 133,Very reliable and worth using regularly.,4,user133,103,6,App Store,en,Nepal,1.2.3,Yes
########,Review title 134,"Terrible experience, needs major improvements.",2,user134,199,5,App Store,ja,Qatar,3.5.6,Yes
4/9/2025,Review title 135,"Very disappointing experience, the app crashes often.",2,user135,146,7,Website,de,Nepal,3.5.6,No
########,Review title 136,"Average experience, some features could be improved.",3,user136,69,7,App Store,pt,France,1.2.3,No
########,Review title 137,"Highly satisfied, the app works exactly as expected.",5,user137,43,8,Website,fr,Nepal,3.5.6,Yes
7/8/2024,Review title 138,"Very disappointing experience, the app crashes often.",1,user138,25,7,App Store,de,Kenya,1.2.3,No
########,Review title 139,"Excellent app, very easy to use and extremely helpful.",5,user139,25,9,Amazon,pt,Poland,5.0.3,Yes
2/4/2024,Review title 140,"Waste of time, does not meet expectations.",1,user140,107,7,Website,zh,USA,4.2.1,Yes
1/2/2024,Review title 141,"Not satisfied, many bugs and issues.",2,user141,136,6,Amazon,hi,Poland,4.2.1,Yes
########,Review title 142,"Excellent app, very easy to use and extremely helpful.",5,user142,20,9,App Store,hi,India,4.2.1,No
########,Review title 143,Poor performance and not user-friendly.,1,user143,8,5,Google Play,en,Nepal,2.1.4,No
########,Review title 144,"Waste of time, does not meet expectations.",2,user144,78,7,App Store,ar,Germany,3.5.6,No
########,Review title 145,Very reliable and worth using regularly.,5,user145,186,6,Amazon,ar,Nepal,5.0.3,No
########,Review title 146,"Terrible experience, needs major improvements.",1,user146,200,5,Website,ar,Germany,1.2.3,Yes
5/8/2024,Review title 147,"Average experience, some features could be improved.",3,user147,126,7,Flipkart,ar,Kenya,2.1.4,No
########,Review title 148,Amazing quality and user-friendly interface.,4,user148,9,5,Website,hi,France,5.0.3,No
########,Review title 149,"Very disappointing experience, the app crashes often.",2,user149,17,7,Flipkart,ar,France,4.2.1,No
########,Review title 150,"Not satisfied, many bugs and issues.",2,user150,189,6,Google Play,hi,Kenya,2.1.4,Yes
########,Review title 151,"Not satisfied, many bugs and issues.",2,user151,49,6,Website,ja,Nepal,3.5.6,No
########,Review title 152,Very reliable and worth using regularly.,4,user152,149,6,Amazon,ar,France,3.5.6,No
########,Review title 153,"Highly satisfied, the app works exactly as expected.",4,user153,163,8,App Store,de,Qatar,5.0.3,Yes
6/8/2024,Review title 154,Works fine but there is room for improvement.,3,user154,113,8,Amazon,es,Poland,2.1.4,Yes
########,Review title 155,"Waste of time, does not meet expectations.",2,user155,147,7,Google Play,pt,Poland,2.1.4,Yes
########,Review title 156,"Excellent app, very easy to use and extremely helpful.",5,user156,186,9,Google Play,pt,Germany,5.0.3,No
########,Review title 157,Works fine but there is room for improvement.,3,user157,84,8,Amazon,es,Poland,2.1.4,Yes
1/3/2024,Review title 158,Poor performance and not user-friendly.,1,user158,87,5,Google Play,en,Italy,1.2.3,No
########,Review title 159,"Terrible experience, needs major improvements.",1,user159,155,5,Google Play,hi,France,2.1.4,No
########,Review title 160,Poor performance and not user-friendly.,1,user160,6,5,Google Play,ja,USA,2.1.4,No
########,Review title 161,"Highly satisfied, the app works exactly as expected.",4,user161,98,8,Flipkart,ja,Kenya,1.2.3,No
########,Review title 162,"Highly satisfied, the app works exactly as expected.",4,user162,148,8,Flipkart,fr,Kenya,2.1.4,Yes
########,Review title 163,"Average experience, some features could be improved.",3,user163,125,7,Amazon,de,USA,1.2.3,Yes
########,Review title 164,"Not satisfied, many bugs and issues.",1,user164,197,6,Website,de,Nepal,5.0.3,No
########,Review title 165,Very reliable and worth using regularly.,5,user165,17,6,App Store,de,Germany,4.2.1,No
########,Review title 166,"Waste of time, does not meet expectations.",2,user166,177,7,Flipkart,hi,Nepal,1.2.3,No
########,Review title 167,"Average experience, some features could be improved.",3,user167,163,7,Flipkart,en,Kenya,5.0.3,Yes
