date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase
2/3/2024,Review title 333,Poor performance and not user-friendly.,2,user333,118,5,Flipkart,en,Germany,3.5.6,No
2/1/2025,Review title 334,"Excellent app, very easy to use and extremely helpful.",4,user334,12,9,Google Play,ja,Italy,1.2.3,Yes
1/7/2025,Review title 335,"Great experience, smooth performance and useful features.",4,user335,22,7,Flipkart,ar,France,5.0.3,No
########,Review title 336,"Excellent app, very easy to use and extremely helpful.",5,user336,65,9,App Store,hi,France,4.2.1,Yes
########,Review title 337,Poor performance and not user-friendly.,2,user337,78,5,Amazon,fr,USA,1.2.3,Yes
########,Review title 338,Poor performance and not user-friendly.,1,user338,11,5,Amazon,hi,Nepal,4.2.1,Yes
########,Review title 339,"Terrible experience, needs major improvements.",1,user339,52,5,App Store,fr,Qatar,2.1.4,No
########,Review title 340,Very reliable and worth using regularly.,5,user340,26,6,Website,fr,Germany,3.5.6,Yes
########,Review title 341,"Highly satisfied, the app works exactly as expected.",4,user341,154,8,Amazon,fr,India,2.1.4,No
########,Review title 342,Very reliable and worth using regularly.,4,user342,169,6,App Store,fr,UK,4.2.1,No
########,Review title 343,Very reliable and worth using regularly.,5,user343,171,6,Website,zh,Poland,3.5.6,No
7/1/2024,Review title 344,Very reliable and worth using regularly.,4,user344,54,6,Flipkart,ja,Nepal,5.0.3,Yes
########,Review title 345,"Very disappointing experience, the app crashes often.",1,user345,0,7,App Store,en,Kenya,5.0.3,No
9/6/2024,Review title 346,"Very disappointing experience, the app crashes often.",2,user346,105,7,Website,pt,Qatar,3.5.6,Yes
########,Review title 347,Very reliable and worth using regularly.,5,user347,150,6,Website,fr,India,3.5.6,No
5/4/2024,Review title 348,The app is okay and does its job reasonably well.,3,user348,71,10,App Store,fr,India,4.2.1,No
3/8/2025,Review title 349,"Waste of time, does not meet expectations.",1,user349,105,7,App Store,ar,Italy,2.1.4,No
########,Review title 350,"Very disappointing experience, the app crashes often.",1,user350,123,7,Amazon,ja,Qatar,3.5.6,No
########,Review title 351,Very reliable and worth using regularly.,5,user351,35,6,Flipkart,zh,Kenya,2.1.4,No
########,Review title 352,Amazing quality and user-friendly interface.,5,user352,11,5,App Store,pt,India,3.5.6,Yes
########,Review title 353,"Very disappointing experience, the app crashes often.",1,user353,45,7,Website,pt,Poland,3.5.6,No
########,Review title 354,"Very disappointing experience, the app crashes often.",2,user354,198,7,Google Play,ja,Kenya,3.5.6,No
1/9/2025,Review title 355,Poor performance and not user-friendly.,1,user355,188,5,Amazon,fr,Kenya,5.0.3,Yes
8/7/2024,Review title 356,Amazing quality and user-friendly interface.,5,user356,120,5,Flipkart,ar,Nepal,2.1.4,No
########,Review title 357,"Not bad, but updates are needed for better performance.",3,user357,191,9,Flipkart,ja,Poland,4.2.1,Yes
3/3/2025,Review title 358,"Terrible experience, needs major improvements.",2,user358,146,5,Flipkart,ar,France,5.0.3,No
########,Review title 359,"Highly satisfied, the app works exactly as expected.",4,user359,60,8,Website,ar,India,3.5.6,No
########,Review title 360,"Not bad, but updates are needed for better performance.",3,user360,188,9,Google Play,zh,Qatar,1.2.3,No
########,Review title 361,Very reliable and worth using regularly.,4,user361,135,6,Google Play,zh,Poland,4.2.1,Yes
########,Review title 362,"Not bad, but updates are needed for better performance.",3,user362,195,9,Website,de,Kenya,1.2.3,Yes
########,Review title 363,The app is okay and does its job reasonably well.,3,user363,147,10,Google Play,pt,Nepal,3.5.6,No
########,Review title 364,"Terrible experience, needs major improvements.",2,user364,166,5,Google Play,de,Kenya,1.2.3,No
########,Review title 365,Very reliable and worth using regularly.,5,user365,101,6,Website,fr,Germany,5.0.3,No
########,Review title 366,Amazing quality and user-friendly interface.,4,user366,193,5,Amazon,es,France,4.2.1,No
5/4/2024,Review title 367,"Waste of time, does not meet expectations.",1,user367,50,7,Website,zh,India,3.5.6,No
########,Review title 368,"Excellent app, very easy to use and extremely helpful.",5,user368,64,9,Google Play,ar,France,5.0.3,Yes
1/6/2025,Review title 369,"Very disappointing experience, the app crashes often.",2,user369,88,7,Google Play,de,Qatar,5.0.3,Yes
########,Review title 370,Amazing quality and user-friendly interface.,4,user370,88,5,Google Play,fr,India,2.1.4,No
########,Review title 371,Poor performance and not user-friendly.,1,user371,5,5,Website,hi,India,1.2.3,No
4/6/2024,Review title 372,The app is okay and does its job reasonably well.,3,user372,184,10,Amazon,de,USA,2.1.4,Yes
########,Review title 373,"Great experience, smooth performance and useful features.",5,user373,155,7,Website,en,UK,4.2.1,Yes
########,Review title 374,Amazing quality and user-friendly interface.,4,user374,137,5,Website,es,India,5.0.3,Yes
5/8/2024,Review title 375,Amazing quality and user-friendly interface.,5,user375,169,5,Website,hi,India,3.5.6,Yes
########,Review title 376,"Highly satisfied, the app works exactly as expected.",5,user376,110,8,App Store,en,Germany,3.5.6,No
########,Review title 377,"Not satisfied, many bugs and issues.",2,user377,141,6,Website,en,USA,3.5.6,No
########,Review title 378,Amazing quality and user-friendly interface.,5,user378,128,5,Amazon,en,India,4.2.1,Yes
########,Review title 379,"Very disappointing experience, the app crashes often.",1,user379,60,7,Google Play,hi,India,2.1.4,No
########,Review title 380,"Terrible experience, needs major improvements.",2,user380,120,5,Google Play,fr,USA,2.1.4,No
########,Review title 381,"Terrible experience, needs major improvements.",2,user381,43,5,Amazon,de,Italy,4.2.1,No
########,Review title 382,Amazing quality and user-friendly interface.,4,user382,9,5,Flipkart,en,Poland,4.2.1,Yes
########,Review title 383,The app is okay and does its job reasonably well.,3,user383,112,10,Google Play,de,India,4.2.1,Yes
########,Review title 384,"Not satisfied, many bugs and issues.",1,user384,121,6,Website,zh,USA,2.1.4,No
########,Review title 385,"Terrible experience, needs major improvements.",1,user385,186,5,App Store,hi,Kenya,4.2.1,No
########,Review title 386,"Terrible experience, needs major improvements.",2,user386,82,5,Amazon,ar,UK,4.2.1,Yes
########,Review title 387,"Highly satisfied, the app works exactly as expected.",4,user387,90,8,App Store,ar,India,5.0.3,No
########,Review title 388,Poor performance and not user-friendly.,2,user388,50,5,Flipkart,es,UK,4.2.1,No
########,Review title 389,"Not satisfied, many bugs and issues.",2,user389,171,6,App Store,es,France,3.5.6,No
########,Review title 390,"Waste of time, does not meet expectations.",1,user390,57,7,Amazon,ja,USA,5.0.3,Yes
########,Review title 391,"Terrible experience, needs major improvements.",1,user391,26,5,Amazon,ar,Germany,4.2.1,Yes
########,Review title 392,"Very disappointing experience, the app crashes often.",2,user392,85,7,Amazon,pt,Kenya,1.2.3,Yes
########,Review title 393,"Very disappointing experience, the app crashes often.",1,user393,200,7,App Store,fr,Qatar,5.0.3,Yes
3/9/2025,Review title 394,Poor performance and not user-friendly.,2,user394,163,5,Flipkart,ja,Italy,5.0.3,Yes
2/3/2024,Review title 395,The app is okay and does its job reasonably well.,3,user395,195,10,Amazon,hi,Germany,3.5.6,Yes
1/1/2024,Review title 396,"Waste of time, does not meet expectations.",2,user396,93,7,Website,de,UK,3.5.6,Yes
6/4/2024,Review title 397,"Terrible experience, needs major improvements.",1,user397,83,5,Flipkart,ja,Qatar,5.0.3,Yes
########,Review title 398,"Very disappointing experience, the app crashes often.",2,user398,197,7,Flipkart,pt,Nepal,1.2.3,Yes
########,Review title 399,"Waste of time, does not meet expectations.",1,user399,36,7,Amazon,de,Poland,5.0.3,Yes
########,Review title 400,Very reliable and worth using regularly.,4,user400,6,6,Flipkart,ja,Italy,2.1.4,Yes
########,Review title 401,"Terrible experience, needs major improvements.",1,user401,20,5,Website,fr,USA,4.2.1,No
1/4/2024,Review title 402,Very reliable and worth using regularly.,4,user402,90,6,Google Play,zh,France,2.1.4,No
########,Review title 403,"Very disappointing experience, the app crashes often.",2,user403,30,7,Flipkart,fr,Germany,3.5.6,Yes
########,Review title 404,"Waste of time, does not meet expectations.",1,user404,114,7,Flipkart,de,France,3.5.6,Yes
########,Review title 405,"Not satisfied, many bugs and issues.",1,user405,39,6,Google Play,zh,USA,4.2.1,Yes
########,Review title 406,"Excellent app, very easy to use and extremely helpful.",5,user406,184,9,App Store,pt,UK,5.0.3,Yes
5/6/2024,Review title 407,"Terrible experience, needs major improvements.",2,user407,110,5,App Store,zh,USA,3.5.6,Yes
2/5/2025,Review title 408,"Excellent app, very easy to use and extremely helpful.",4,user408,56,9,App Store,ja,Italy,4.2.1,No
7/9/2024,Review title 409,"Great experience, smooth performance and useful features.",5,user409,90,7,Amazon,fr,Nepal,1.2.3,Yes
########,Review title 410,Works fine but there is room for improvement.,3,user410,134,8,App Store,hi,UK,4.2.1,No
########,Review title 411,Poor performance and not user-friendly.,2,user411,107,5,Flipkart,ar,UK,2.1.4,Yes
########,Review title 412,The app is okay and does its job reasonably well.,3,user412,185,10,Amazon,hi,Poland,2.1.4,Yes
4/1/2025,Review title 413,The app is okay and does its job reasonably well.,3,user413,80,10,Flipkart,pt,Kenya,1.2.3,Yes
########,Review title 414,"Highly satisfied, the app works exactly as expected.",5,user414,154,8,Amazon,ar,Poland,3.5.6,Yes
########,Review title 415,Amazing quality and user-friendly interface.,4,user415,78,5,Amazon,ja,Poland,3.5.6,No
########,Review title 416,"Not satisfied, many bugs and issues.",1,user416,180,6,Google Play,en,USA,1.2.3,Yes
########,Review title 417,"Great experience, smooth performance and useful features.",5,user417,118,7,Flipkart,ja,Poland,5.0.3,Yes
6/2/2024,Review title 418,Poor performance and not user-friendly.,2,user418,86,5,Flipkart,ar,USA,5.0.3,No
########,Review title 419,"Very disappointing experience, the app crashes often.",2,user419,130,7,Amazon,pt,Kenya,5.0.3,No
3/1/2024,Review title 420,"Very disappointing experience, the app crashes often.",1,user420,124,7,Flipkart,es,France,5.0.3,No
3/5/2024,Review title 421,"Great experience, smooth performance and useful features.",4,user421,29,7,Flipkart,es,Nepal,3.5.6,Yes
########,Review title 422,"Waste of time, does not meet expectations.",1,user422,9,7,Amazon,de,Kenya,4.2.1,Yes
########,Review title 423,Poor performance and not user-friendly.,2,user423,130,5,App Store,de,UK,5.0.3,No
########,Review title 424,Very reliable and worth using regularly.,5,user424,7,6,Flipkart,de,Nepal,1.2.3,No
########,Review title 425,The app is okay and does its job reasonably well.,3,user425,43,10,Website,ja,USA,3.5.6,Yes
7/6/2024,Review title 426,"Waste of time, does not meet expectations.",2,user426,60,7,Flipkart,en,Poland,4.2.1,Yes
########,Review title 427,"Waste of time, does not meet expectations.",2,user427,183,7,Amazon,en,France,4.2.1,Yes
3/7/2024,Review title 428,"Decent app, neither too good nor too bad.",3,user428,69,8,Google Play,ja,Nepal,4.2.1,No
########,Review title 429,"Waste of time, does not meet expectations.",2,user429,2,7,App Store,de,Nepal,5.0.3,No
########,Review title 430,Works fine but there is room for improvement.,3,user430,166,8,App Store,es,France,5.0.3,No
########,Review title 431,"Great experience, smooth performance and useful features.",5,user431,164,7,App Store,fr,USA,1.2.3,No
########,Review title 432,"Very disappointing experience, the app crashes often.",1,user432,180,7,Google Play,pt,Qatar,3.5.6,No
1/5/2025,Review title 433,"Great experience, smooth performance and useful features.",5,user433,118,7,Amazon,pt,Kenya,3.5.6,Yes
2/2/2025,Review title 434,"Very disappointing experience, the app crashes often.",1,user434,81,7,Flipkart,de,USA,4.2.1,Yes
1/5/2025,Review title 435,"Excellent app, very easy to use and extremely helpful.",4,user435,188,9,Website,de,Kenya,1.2.3,Yes
########,Review title 436,Very reliable and worth using regularly.,5,user436,138,6,Flipkart,ar,Germany,5.0.3,No
1/9/2025,Review title 437,"Waste of time, does not meet expectations.",1,user437,65,7,Website,de,Qatar,1.2.3,No
########,Review title 438,"Decent app, neither too good nor too bad.",3,user438,192,8,Website,de,UK,1.2.3,No
########,Review title 439,"Not bad, but updates are needed for better performance.",3,user439,42,9,App Store,en,India,3.5.6,No
########,Review title 440,"Highly satisfied, the app works exactly as expected.",5,user440,84,8,App Store,de,UK,3.5.6,Yes
########,Review title 441,"Not bad, but updates are needed for better performance.",3,user441,74,9,Flipkart,zh,Qatar,4.2.1,No
########,Review title 442,Works fine but there is room for improvement.,3,user442,150,8,Amazon,hi,Nepal,3.5.6,No
########,Review title 443,"Highly satisfied, the app works exactly as expected.",4,user443,100,8,Amazon,pt,UK,2.1.4,Yes
4/6/2025,Review title 444,"Not bad, but updates are needed for better performance.",3,user444,65,9,Amazon,en,France,1.2.3,Yes
########,Review title 445,"Not bad, but updates are needed for better performance.",3,user445,55,9,App Store,ja,Kenya,1.2.3,Yes
########,Review title 446,"Highly satisfied, the app works exactly as expected.",4,user446,88,8,Flipkart,ar,UK,2.1.4,Yes
########,Review title 447,Works fine but there is room for improvement.,3,user447,132,8,Website,de,Nepal,3.5.6,Yes
9/4/2024,Review title 448,Poor performance and not user-friendly.,2,user448,183,5,App Store,pt,Kenya,1.2.3,Yes
########,Review title 449,"Not satisfied, many bugs and issues.",2,user449,120,6,Flipkart,en,Italy,4.2.1,No
########,Review title 450,"Not satisfied, many bugs and issues.",1,user450,66,6,Website,pt,Poland,3.5.6,Yes
########,Review title 451,"Not satisfied, many bugs and issues.",2,user451,99,6,Website,zh,France,4.2.1,No
########,Review title 452,"Not satisfied, many bugs and issues.",1,user452,50,6,Google Play,pt,Nepal,4.2.1,Yes
9/5/2024,Review title 453,Poor performance and not user-friendly.,1,user453,136,5,Website,zh,France,3.5.6,No
########,Review title 454,The app is okay and does its job reasonably well.,3,user454,82,10,App Store,ja,France,4.2.1,No
########,Review title 455,"Highly satisfied, the app works exactly as expected.",4,user455,38,8,Amazon,fr,India,2.1.4,No
########,Review title 456,Poor performance and not user-friendly.,2,user456,110,5,Website,ar,France,2.1.4,No
########,Review title 457,"Great experience, smooth performance and useful features.",4,user457,74,7,App Store,pt,France,4.2.1,No
3/6/2024,Review title 458,Amazing quality and user-friendly interface.,4,user458,195,5,App Store,fr,Qatar,2.1.4,No
########,Review title 459,"Waste of time, does not meet expectations.",2,user459,78,7,Google Play,pt,Qatar,5.0.3,Yes
3/7/2024,Review title 460,"Great experience, smooth performance and useful features.",5,user460,104,7,Google Play,ar,UK,4.2.1,Yes
########,Review title 461,"Very disappointing experience, the app crashes often.",1,user461,151,7,Website,pt,USA,1.2.3,No
########,Review title 462,"Not satisfied, many bugs and issues.",1,user462,6,6,Flipkart,ja,Poland,1.2.3,Yes
########,Review title 463,"Not bad, but updates are needed for better performance.",3,user463,8,9,Amazon,fr,Qatar,2.1.4,No
########,Review title 464,"Waste of time, does not meet expectations.",1,user464,146,7,Website,pt,Poland,4.2.1,Yes
########,Review title 465,"Waste of time, does not meet expectations.",2,user465,13,7,Website,fr,Italy,2.1.4,No
7/7/2024,Review title 466,"Waste of time, does not meet expectations.",1,user466,88,7,Flipkart,fr,Qatar,2.1.4,No
########,Review title 467,Amazing quality and user-friendly interface.,4,user467,108,5,Website,en,Germany,4.2.1,Yes
########,Review title 468,"Highly satisfied, the app works exactly as expected.",4,user468,1,8,Amazon,en,Nepal,1.2.3,Yes
8/9/2024,Review title 469,"Not satisfied, many bugs and issues.",1,user469,146,6,Google Play,zh,Germany,2.1.4,No
3/3/2024,Review title 470,"Terrible experience, needs major improvements.",1,user470,106,5,Google Play,en,India,1.2.3,Yes
########,Review title 471,"Very disappointing experience, the app crashes often.",2,user471,35,7,Flipkart,zh,Kenya,2.1.4,No
2/5/2025,Review title 472,"Terrible experience, needs major improvements.",2,user472,10,5,App Store,en,India,4.2.1,No
########,Review title 473,"Average experience, some features could be improved.",3,user473,106,7,Amazon,en,India,5.0.3,Yes
########,Review title 474,"Highly satisfied, the app works exactly as expected.",4,user474,135,8,Website,fr,USA,4.2.1,Yes
7/9/2024,Review title 475,"Excellent app, very easy to use and extremely helpful.",4,user475,76,9,Amazon,de,Germany,1.2.3,No
########,Review title 476,The app is okay and does its job reasonably well.,3,user476,106,10,Website,de,Qatar,2.1.4,No
5/8/2025,Review title 477,"Highly satisfied, the app works exactly as expected.",5,user477,196,8,Website,ar,Germany,1.2.3,No
########,Review title 478,"Highly satisfied, the app works exactly as expected.",5,user478,58,8,Google Play,zh,India,5.0.3,No
########,Review title 479,Amazing quality and user-friendly interface.,5,user479,3,5,Flipkart,hi,UK,4.2.1,No
########,Review title 480,Works fine but there is room for improvement.,3,user480,142,8,Amazon,ja,Kenya,5.0.3,Yes
########,Review title 481,"Not satisfied, many bugs and issues.",1,user481,105,6,Website,hi,Poland,4.2.1,Yes
3/6/2025,Review title 482,"Waste of time, does not meet expectations.",1,user482,144,7,Flipkart,en,Germany,4.2.1,Yes
########,Review title 483,Very reliable and worth using regularly.,4,user483,157,6,Website,de,India,4.2.1,No
########,Review title 484,"Not satisfied, many bugs and issues.",2,user484,80,6,App Store,hi,Nepal,3.5.6,Yes
########,Review title 485,"Average experience, some features could be improved.",3,user485,29,7,Google Play,ja,Italy,4.2.1,Yes
########,Review title 486,Works fine but there is room for improvement.,3,user486,121,8,Website,zh,Italy,5.0.3,Yes
########,Review title 487,"Great experience, smooth performance and useful features.",5,user487,171,7,Amazon,ar,Poland,1.2.3,Yes
########,Review title 488,"Decent app, neither too good nor too bad.",3,user488,28,8,Flipkart,hi,Qatar,4.2.1,No
1/4/2024,Review title 489,"Highly satisfied, the app works exactly as expected.",4,user489,123,8,Website,zh,Italy,4.2.1,No
########,Review title 490,"Great experience, smooth performance and useful features.",4,user490,101,7,App Store,zh,Qatar,4.2.1,No
4/4/2024,Review title 491,"Terrible experience, needs major improvements.",1,user491,12,5,Flipkart,en,Qatar,4.2.1,Yes
########,Review title 492,The app is okay and does its job reasonably well.,3,user492,84,10,App Store,zh,Germany,3.5.6,No
########,Review title 493,"Excellent app, very easy to use and extremely helpful.",4,user493,183,9,Flipkart,ja,Qatar,4.2.1,No
########,Review title 494,"Terrible experience, needs major improvements.",1,user494,50,5,Google Play,zh,India,4.2.1,Yes
########,Review title 495,Very reliable and worth using regularly.,4,user495,26,6,App Store,ja,Qatar,5.0.3,Yes
7/5/2024,Review title 496,"Waste of time, does not meet expectations.",2,user496,81,7,Flipkart,ja,Qatar,1.2.3,No
########,Review title 497,"Great experience, smooth performance and useful features.",5,user497,48,7,Google Play,fr,Nepal,2.1.4,No
########,Review title 498,"Terrible experience, needs major improvements.",2,user498,16,5,Google Play,de,Poland,2.1.4,Yes
########,Review title 499,"Highly satisfied, the app works exactly as expected.",4,user499,68,8,Google Play,zh,Nepal,1.2.3,Yes
9/8/2024,Review title 500,Poor performance and not user-friendly.,1,user500,31,5,Google Play,ja,UK,3.5.6,Yes